# $ ./project4 -L 20 -E 1 -c 1E4 -s 1
c,E,CV,Mabs,Chi,M
5.1000000000000000e+02,-1.8798434442270058e+00,1.7501829726448634e+01,7.8512720156555771e-01,4.8858408400703119e+01,7.8510763209393342e-01
5.2000000000000000e+02,-1.8821497120921304e+00,1.7274619825302796e+01,7.8925143953934740e-01,4.8268297935831363e+01,7.8923224568138195e-01
5.3000000000000000e+02,-1.8843691148775894e+00,1.7051950021456868e+01,7.9322033898305078e-01,4.7687565514379678e+01,7.9320150659133715e-01
5.4000000000000000e+02,-1.8864695009242143e+00,1.6830725875612117e+01,7.9703327171903882e-01,4.7114908244812611e+01,7.9701478743068388e-01
5.5000000000000000e+02,-1.8885299455535389e+00,1.6617139205734130e+01,8.0071687840290384e-01,4.6553460495848192e+01,8.0069872958257715e-01
5.6000000000000000e+02,-1.8905169340463459e+00,1.6407950152674747e+01,8.0426916221033862e-01,4.6001747134763825e+01,8.0425133689839567e-01
5.7000000000000000e+02,-1.8922241681260945e+00,1.6186672719075286e+01,8.0764448336252181e-01,4.5451808637563992e+01,8.0762697022767072e-01
5.8000000000000000e+02,-1.8938726333907057e+00,1.5973002805419092e+01,8.1090361445783132e-01,4.4912289571366379e+01,8.1088640275387258e-01
5.9000000000000000e+02,-1.8954991539763113e+00,1.5765974788207968e+01,8.1406091370558376e-01,4.4384131172322597e+01,8.1404399323181054e-01
6.0000000000000000e+02,-1.8971048252911813e+00,1.5565232875877991e+01,8.1712146422628951e-01,4.3867101586097490e+01,8.1710482529118134e-01
6.1000000000000000e+02,-1.8987888707037643e+00,1.5378660402173992e+01,8.2011456628477897e-01,4.3364511934769290e+01,8.2009819967266784e-01
6.2000000000000000e+02,-1.9003864734299518e+00,1.5193627855959058e+01,8.2300322061191622e-01,4.2870160382324542e+01,8.2298711755233500e-01
6.3000000000000000e+02,-1.9019334389857370e+00,1.5012514234191622e+01,8.2580031695721079e-01,4.2385116221829882e+01,8.2578446909667191e-01
6.4000000000000000e+02,-1.9034009360374415e+00,1.4833064561271749e+01,8.2850234009360380e-01,4.1908182369104395e+01,8.2848673946957874e-01
6.5000000000000000e+02,-1.9048847926267281e+00,1.4661669038062973e+01,8.3113671274961609e-01,4.1442371018473239e+01,8.3112135176651303e-01
6.6000000000000000e+02,-1.9063237518910743e+00,1.4493777135912387e+01,8.3369137670196669e-01,4.0985351310648873e+01,8.3367624810892593e-01
6.7000000000000000e+02,-1.9077198211624440e+00,1.4329306304845668e+01,8.3616989567809241e-01,4.0536963714988161e+01,8.3615499254843517e-01
6.8000000000000000e+02,-1.9089574155653453e+00,1.4160563738649653e+01,8.3854625550660800e-01,4.0093310304229959e+01,8.3853157121879596e-01
